   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
McLean Hospital,East House II Acute Residential Trt,115 Mill Street,Belmont,MA,2478,,Middlesex,617-855-2743,,617-855-2800,,http://www.mcleanhospital.org/programs/adolescent-art,42.3942245,-71.1913762,SA
Catholic Charities,Bureau Arch Boston Genesis 11,295 Adams Street,Newton,MA,2458,,Middlesex,617-332-9905,,617-661-3991,,http://www.ccab.org,42.355738,-71.1970876,SA
Square Medical Group,,124 Watertown Street,Watertown,MA,2472,,Middlesex,617-916-5069,,,,http://www.squaremedicalgroup.org/,42.3626965,-71.1909418,SA
Right Turn,,440 Arsenal Street,Watertown,MA,2472,,Middlesex,781-646-3800,,781-646-3800 x101,,http://www.right-turn.org,42.3636325,-71.1624482,SA
Column Health LLC,,339 Massachusetts Avenue,Arlington,MA,2474,,Middlesex,339-368-7696,,,844-265-8661,http://www.columnhealth.com/,42.4110897,-71.1477398,SA
Steward St Elizabeths/SECAP/ATS,,736 Cambridge Street,Brighton,MA,2135,,Suffolk,617-789-3000 x2574,,617-789-2574,,http://www.steward.org/Substance-Abuse,42.3489582,-71.1476809,SA
North Charles Institute for,The Addictions,54 Washburn Avenue,Cambridge,MA,2140,,Middlesex,617-661-5700,,,,http://www.northcharles.org,42.400025,-71.130306,SA
IMPACT,,54 Washburn Avenue,Cambridge,MA,2140,,Middlesex,617-661-0405 x117,,617-661-5700,,http://www.northcharles.org,42.400025,-71.130306,SA
Prevention and Recovery Center,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,MA,2138,,Middlesex,617-499-5051 x4212,Intakes,617-499-5051,617-499-5052,http://www.mountauburnhospital.org,42.3739637,-71.1341246,SA
Addiction Treatment Center of NE,,77 Warren Street,Brighton,MA,2135,,Suffolk,617-254-1271,Intakes,617-254-1271 x119,617-254-1271 x110,http://www.atcne.net,42.3489571,-71.1426625,SA
Addiction Treatment Center of NE,Outpatient Counseling Program,77 Warren Street,Brighton,MA,2135,,Suffolk,617-254-1271,,617-254-1271 x119,,http://www.atcne.net,42.3489571,-71.1426625,SA
Column Health,,71 Washington Street,Brighton,MA,2135,,Suffolk,339-368-7696,,,844-265-8661,http://www.columnhealth.com,42.3441497,-71.1434088,SA
Granada House Inc,,70 Adamson Street,Allston,MA,2134,,Suffolk,617-254-2923,,,,http://www.granadahouse.org,42.3580235,-71.1339995,SA
SMOC,Serenity House,44 Wilson Street,Hopkinton,MA,1748,,Middlesex,508-435-9040,Intakes,508-435-9040 x202,508-435-9040 x208,http://www.smoc.org/serenity-house.php,42.2432518,-71.5156181,SA
Advocates Community Counseling,Harvard,257 Ayer Road,Harvard,MA,1451,,Middlesex,978-772-1846,Intakes,508-661-2038,978-391-5069,http://advocates.org/,42.5339605,-71.5771708,SA
Caspar Inc,Womanplace,11 Russell Street,Cambridge,MA,2140,,Middlesex,617-661-6020,,,,http://www.baycove.org,42.3923417,-71.1231795,SA
Column Health,,401 Highland Avenue,Somerville,MA,2144,,Middlesex,339-368-7696,,,844-265-8661,http://www.columnhealth.com,42.3959767,-71.1207601,SA
Arbour Counseling Services,,14 Fordham Road,Allston,MA,2134,,Suffolk,617-782-6460,,,,http://www.arbourhealth.com,42.351817,-71.127759,SA
Caspar Inc/New Day for,Preg and Postpartum Women,242 Highland Avenue,Somerville,MA,2143,,Middlesex,617-628-8188 x308,,617-628-8188,,http://www.baycove.org,42.3907334,-71.1096886,SA
Bournewood Hospital,Bournewood Health Systems,300 South Street,Chestnut Hill,MA,2467,,Middlesex,617-469-0300 x3302,Intakes,800-468-4358,617-469-0300 x3305,http://www.bournewood.com,42.2983204,-71.1493329,SA
Arbour Counseling Services,Substance Recovery Program,10 Roessler Road,Woburn,MA,1801,,Middlesex,781-932-8114,,,,http://www.arbourhealth.com,42.5107089,-71.1410214,SA
New Horizons Medical PC,,1180 Beacon Street,Brookline,MA,2446,,Norfolk,617-202-9222,,,,http://www.newhorizonsmedical.org,42.344372,-71.1148571,SA
Institute for Health and Recovery Inc,,349 Broadway,Cambridge,MA,2139,,Middlesex,617-661-3991,,,,http://www.healthrecovery.org,42.370362,-71.103364,SA
Healthcare Resource Center,,9 Forbes Road,Woburn,MA,1801,2103,Middlesex,781-838-6757,,,,http://www.csachelp.com,42.4950091,-71.1215269,SA
Middlesex Recovery PC,,20 Tower Office Park,Woburn,MA,1801,,Middlesex,781-305-3300,,,,http://,42.5019527,-71.1239926,SA
Caspar Inc,,3 Summit Avenue,Somerville,MA,2143,,Middlesex,617-776-6036,,,,http://www.casparinc.org,42.383625,-71.095391,SA
Caspar Inc,Mens Recovery Home,16 Highland Avenue,Somerville,MA,2143,,Middlesex,617-623-5277 x351,,,,http://www.casparinc.org,42.3845922,-71.0933031,SA
Brigham and Womens Faulkner Hosp,,1153 Centre Street,Jamaica Plain,MA,2130,,Suffolk,617-983-7474,,617-983-7060,,http://www.brighamandwomensfaulkner.org/programs-and-services/addiction-medicine/default.aspx,42.3016411,-71.1287817,SA
Boston Childrens Hospital,Adolescent Substance Abuse Program,300 Longwood Avenue,Boston,MA,2115,,Suffolk,617-355-2727,,,617-355-5433,http://childrenshospital.org/asap,42.3373982,-71.104968,SA
South Bay Mental Health Center,,22 Olde Canal Drive,Lowell,MA,1851,,Middlesex,978-453-6800,,,,http://,42.6232276,-71.350935,SA
Habit OPCO ,Lowell,22 Olde Canal Drive,Lowell,MA,1851,,Middlesex,978-452-5155 x201,,978-452-5155,,http://www.acadiahealthcare.com,42.6232579,-71.3509844,SA
Spectrum Health Systems Inc,Charles J Faris Recovery Center,155A Oak Street,Westborough,MA,1581,,Worcester,508-898-1570,Intakes,508-898-1570 x2100,508-898-1597 x2149,http://www.spectrumhealthsystems.com,42.2864878,-71.6267867,SA
New England Recovery Ctr (NERC),Detox Services,153 Oak Street,Westborough,MA,1581,,Worcester,844-800-6372,,,,http://www.newenglandtreatmentcenter.com,42.2862224,-71.6272243,SA
Spectrum Health Systems Inc,Clinical Support Services,154 Oak Street,Westborough,MA,1581,,Worcester,508-898-1570 x2197,Intakes,800-366-7732 x2213,508-898-1570 x2213,http://www.spectrumhealthsystems.org,42.2853361,-71.6274632,SA
Spectrum Health Systems Inc,Acute Treatment Services,154 Oak Street,Westborough,MA,1581,,Worcester,508-898-1570,,,,http://www.spectrumhealthsystems.org,42.2853361,-71.6274632,SA
Fenway Health,Substance Abuse Treatment Program,1340 Boylston Street,Boston,MA,2215,,Suffolk,617-267-0900,,617-927-6202,,http://www.fenwayhealth.org,42.3440365,-71.0988961,SA
Arbour Substance Abuse Trt Program,Detox,49 Robinwood Avenue,Jamaica Plain,MA,2130,,Suffolk,617-390-1204,,617-390-1320,,http://www.arbourhealth.com,42.315774,-71.112267,SA
Shiloh House,,5 Parley Vale ,Jamaica Plain,MA,2130,,Suffolk,857-273-3923,,857-273-3923 x267,,http://www.voamass.org/,42.3148541,-71.1112669,SA
Arbour Counseling Services,,157 Green Street,Jamaica Plain,MA,2130,,Suffolk,617-524-1120,Intakes,617-390-1320,617-390-1409,http://www.arbourhealth.com,42.310124,-71.106735,SA
Whittier Street Health Center,,1290 Tremont Street,Roxbury Crossing,MA,2120,,Suffolk,617-427-1000,Intakes,617-989-3127,617-989-3009,http://www.wshc.org,42.332571,-71.092825,SA
Eastern Middlesex Alcoholism Servs,Residential Rehab/Recovery House,12 Cedar Street,Malden,MA,2148,,Middlesex,781-321-2600,,781-321-2600 x23,,http://,42.4277033,-71.0762867,SA
Brookside Community Health Center,,3297 Washington Street,Jamaica Plain,MA,2130,,Suffolk,617-983-6047,,,,http://www.brighamandwomenshospital.org,42.3109211,-71.10403,SA
Dimock Center,John Flowers Recovery Home,50 Dimock Street,Roxbury,MA,2119,,Suffolk,617-442-8800 x1336,,,617-442-8800 x1334,http://www.dimock.org,42.3192728,-71.0977302,SA
Dimock CSS,Womens Renewal at Dimock,56 Dimock Street,Roxbury,MA,2119,,Suffolk,617-442-8800 x1535,,617-442-8800 x1622,,http://www.dimock.org,42.318961,-71.097433,SA
My Sisters House at Dimock,,56 Dimock Street,Roxbury,MA,2119,,Suffolk,617-442-8800 x1420,,617-442-8800 x1622,,http://www.dimock.org,42.318961,-71.097433,SA
Askia Academy at Dimock,,9 Notre Dame Street,Boston,MA,2119,,Suffolk,617-442-8800,,617-442-8800 x1652,,http://www.Dimock.org,42.3191673,-71.0960074,SA
Sullivan House,,65 Glen Road,Jamaica Plain,MA,2130,,Suffolk,617-524-4416,,,,http://,42.3082942,-71.1013326,SA
Victory Programs Inc,Living and Recovery Community,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,617-522-2936 x424,,617-522-2936 x401,,http://www.vpi.org,42.30041,-71.105673,SA
Pine Street Inn,,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,617-892-7937,,617-892-7893,,http://www.pinestreetinn.org,42.30041,-71.105673,SA
Revelations Talk Therapy LLC,,529 Main Street,Charlestown,MA,2129,1125,Suffolk,617-682-0823,,,,http://WWW.REVELATIONSTALKTHERAPY.COM,42.3847796,-71.071412,SA
Lemuel Shattuck Hospital,OBOT (Suboxone) Clinic,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,617-971-3893,,,617-971-3670,http://,42.3000728,-71.1018678,SA
Community Healthcare Inc,,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,617-541-3670,,617-541-3670 x0,,http://www.csachelp.com,42.299581,-71.1017916,SA
High Point Jamaica Plain at Shattuck,,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,857-273-4929,,617-834-9400,,http://www.hptc.org,42.299581,-71.1017916,SA
Victory Programs Inc,Womens Hope,170 Morton Street,Jamaica Plain,MA,2130,,Suffolk,617-442-0048 x302,,617-442-0048 x301,,http://www.vpi.org,42.299581,-71.1017916,SA
Dimock Substance Abuse Trt Service,Satellite,7 Palmer Street,Roxbury,MA,2119,,Suffolk,617-442-8800 x1284,,617-442-8800 x1289,,http://www.dimock.org,42.3303947,-71.0826993,SA
Victory Programs Inc,Victory House/Recovery Home,566 Massachusetts Avenue,Boston,MA,2118,,Suffolk,617-262-5032,,617-288-1272,,http://www.vpi.org,42.337837,-71.078488,SA
Banyan Treatment Center Mass LLC,,66 K Concord Street,Wilmington,MA,1887,,Middlesex,978-737-7272,,888-218-2347,,http://www.banyanmass.com,42.5588042,-71.1368634,SA
Fenway Health,Fenway South End,142 Berkeley Street,Boston,MA,2116,,Suffolk,617-247-7555,,617-927-6202,,http://www.fenwayhealth.org,42.3487138,-71.0722817,SA
Massachusetts General Hospital,Addiction Services,16 Blossom Street,Boston,MA,2114,,Suffolk,617-643-4699,Intakes,617-726-2712,617-726-7753,http://www.massgeneral.org/psychiatry/arms/home.aspx,42.361737,-71.067068,SA
SUPPORT Wellness,South End Community Health Center,1601 Washington Street,Boston,MA,2118,,Suffolk,617-587-1905,,,,http://www.sechc.org/,42.3383481,-71.0748939,SA
Volunteers of America,Mens Hello House,686 Massachusetts Avenue,Boston,MA,2118,,Suffolk,617-262-7142 x202,,617-262-7142,,http://www.voamass.org,42.3355664,-71.0754188,SA
Northeast Behavioral Health,,365 East Street,Tewksbury,MA,1876,,Middlesex,978-259-7000 x7005,Intakes,978-259-7021,978-259-7024,http://,42.612167,-71.216872,SA
Sheehan Womens Program,Lowell House Inc,365 East Street,Tewksbury,MA,1876,,Middlesex,978-640-0840,,,978-640-0839,http://www.lowellhouseinc.com,42.6121671,-71.2168703,SA
Middlesex Human Serv Agency Inc,Middlesex DUIL Program,365 East Street,Tewksbury,MA,1876,,Middlesex,978-863-0048,,,,http://www.mhsainc.org/duil,42.6121671,-71.2168703,SA
Conexiones CSS,,365 East Street,Tewksbury,MA,1876,,Middlesex,857-293-2005,,,,https://www.casaesperanza.org/,42.6121671,-71.2168703,SA
Tewksbury Treatment Center,Lahey Health Behavioral Services,365 East Street,Tewksbury,MA,1876,,Middlesex,978-259-7000,Intakes,978-259-7021,978-259-7024,http://www.nebhealth.org,42.6121671,-71.2168703,SA
Lowell House Inc,Mens Recovery Home,365 East Street,Tewksbury,MA,1876,,Middlesex,978-459-3371,,,,http://www.lowellhouseinc.org,42.6121671,-71.2168703,SA
Institute for Health and Recovery Inc,Boston,95 Berkeley Street,Boston,MA,2116,,Suffolk,617-849-6994,,617-661-3991,,http://www.healthrecovery.org,42.347285,-71.0705,SA
MGH Add Recov Management Servs,,151 Merrimas Street,Boston,MA,2114,,Suffolk,617-643-4699,,,,http://www.massgeneral.org/psychiatry/services/treatmentprograms.aspx?id=1945,42.364191,-71.0630784,SA
Lowell Community Health Center Inc,Behavioral Health Services Outpatient,161 Jackson Street,Lowell,MA,1852,,Middlesex,978-937-9700 x6730,Intakes,978-934-0164 x262,978-937-9448,http://www.lchealth.org,42.642182,-71.311467,SA
Hope House Inc,Outpatient,8 Farnham Street,Roxbury,MA,2119,,Suffolk,617-971-9360 x100,,617-971-9370,,http://www.hopehouseboston.org,42.3306045,-71.0744562,SA
Hope House Inc,Recovery Home,8 Farnham Street,Roxbury,MA,2119,,Suffolk,617-971-9360,,,,http://www.hopehouseboston.org,42.33045255,-71.07429964,SA
Boston Public Health Commission,Bureau of Recovery Services,774 Albany Street,Boston,MA,2118,,Suffolk,617-534-2730,Intakes,855-494-4057,617-534-5554,http://www.bphc.org/recovery,42.3338559,-71.0727591,SA
Boston Treatment Center,,784 Massachusetts Avenue,Boston,MA,2118,,Suffolk,617-247-1001,,,,http://www.nebhealth.org,42.3337245,-71.0726407,SA
Casa Esperanza Inc,Familias Unidas Outpatient Program,245 Eustis Street,Roxbury,MA,2119,,Suffolk,617-445-1123 x308,,617-445-1123 x300,,http://www.casaesperanza.org,42.3267926,-71.075081,SA
Casa Esperanza Inc,Latinas y Ninos Center,263 Eustis Street,Roxbury,MA,2119,,Suffolk,617-445-1123 x321,,617-445-1104 x321,,http://www.casaesperanza.org,42.3264779,-71.0746088,SA
AdCare Hospital,,14 Beacon Street,Boston,MA,2108,,Suffolk,617-227-2622,,,,http://www.adcare.com,42.3576657,-71.0623588,SA
Bridge Over Troubled Waters Inc,,47 West Street,Boston,MA,2111,,Suffolk,617-423-9575 x212,,617-423-9575,,http://www.bridgeotw.org,42.355009,-71.062956,SA
Casa Esperanza Inc,Casa Esperanzas Mens Program,291 Eustis Street,Boston,MA,2119,,Suffolk,617-445-1123 x111,,617-445-1123 x107,,http://www.casaesperanza.org,42.325946,-71.073865,SA
Institute for Health and Recovery Inc,Lowell,97 Central Street ,Lowell,MA,1852,,Middlesex,617-661-3991,,,,http://www.healthrecovery.org,42.6441422,-71.3086365,SA
Health Care Resource Centers,,23-27 Bradston Street,Boston,MA,2118,,Suffolk,617-318-6480,,,,http://www.hcrcenters.com,42.3329192,-71.0700656,SA
Boston Alcohol and Substance,Abuse Programs Inc,29 Winter Street,Boston,MA,2108,,Suffolk,617-482-5292,,,,http://www.bostonasap.org,42.356013,-71.061653,SA
Bay Cove Human Services,Methadone Services,66 Canal Street,Boston,MA,2114,,Suffolk,617-371-3030 x3085,,617-371-3030 x1,,http://www.baycove.org,42.363831,-71.0595,SA
Charlestown Recovery Home,,15 Bunker Hill Street,Charlestown,MA,2129,,Suffolk,617-242-0088,,,,http://www.gavinfoundation.org,42.376225,-71.056335,SA
Arbour Counseling Services,,10 Bridge Street,Lowell,MA,1852,,Middlesex,978-453-5736,,,,http://,42.645687,-71.30748,SA
Childrens Services of Roxbury,Recover Support Service,520 Dudley Street,Roxbury,MA,2119,2733,Suffolk,617-989-1093 x523,,617-989-9623,,http://www.csrox.org,42.3225768,-71.0725362,SA
Lowell House Inc,Outpatient Substance Abuse Services,555 Merrimack Street,Lowell,MA,1854,,Middlesex,978-459-8656,,,,http://www.lowellhouseinc.org,42.647397,-71.31714,SA
Boston Rescue Mission OP Counseling,,39 Kingston Street,Boston,MA,2111,,Suffolk,617-482-8819 x1215,,617-482-8819 x1238,,http://www.brm.org,42.353481,-71.059437,SA
Boston Comprehensive Trt Ctr,Habit OPCO,99 Topeka Street,Boston,MA,2118,,Suffolk,617-849-9572,,,,http://www.bostonctc.com,42.3335634,-71.0664443,SA
Eliot Community Human Services,,173 Chelsea Street,Everett,MA,2149,,Middlesex,781-388-6200,,781-388-6225,,http://www.eliotchs.org,42.4038921,-71.0489154,SA
Megans House,,32 Berry Road,Lowell,MA,1854,,Middlesex,978-455-6973,,,,http://themeganhouse.org,42.6528972,-71.3445929,SA
Victory Programs Inc,New Victories Recovery Home,9 Virginia Street,Dorchester,MA,2125,,Suffolk,617-825-6088 x501,Intakes,617-262-5032 x354,617-288-1272 x350,http://www.vpi.org,42.317262,-71.067089,SA
Addiction Services,Uphams Corner Health Committee,415 Columbia Road,Dorchester,MA,2125,,Suffolk,617-287-8000 x8325,,,,http://uphamscornerhealthcenter.org,42.311823,-71.0687657,SA
Gavin Foundation Inc,Cushing House/Male and Female Prg,54-58 Old Colony Avenue,Boston,MA,2127,,Suffolk,617-269-2933,Intakes,617-269-2933 x5,617-269-2933 x6,http://www.gavinfoundation.org,42.3362086,-71.0556267,SA
Mattapan Community Health Center,,1575 Blue Hill Avenue,Mattapan,MA,2126,,Suffolk,617-296-0061,,,,http://,42.2697988,-71.0940623,SA
Gavin Foundation Inc,Center for Recovery Services,210 Old Colony Avenue,Boston,MA,2127,,Suffolk,617-268-5000,,,,http://www.gavinfoundation.org,42.332957,-71.053771,SA
Victory Programs Inc,Shepherd House,"22, 24 and 26 Windermere Road",Dorchester,MA,2125,,Suffolk,617-288-3906,,617-288-3906 x354,,http://www.vpi.org,42.314014,-71.06246,SA
North Suffolk Mental Hlth Association,Meridian House,408 Meridian Street,Boston,MA,2128,,Suffolk,617-569-6050,,,,http://www.northsuffolk.org,42.38058955,-71.0392471,SA
After Care Services Inc,,2 Lexington Street,Boston,MA,2128,,Suffolk,617-569-4561,,617-561-4455,,http://,42.3772167,-71.039705,SA
Boston Hamilton House Inc,Hamilton Recovery Home,25 Mount Ida Road,Dorchester,MA,2122,,Suffolk,617-288-1584 x1005,,617-288-1584 x502,,http://www.gavinfoundation.org,42.3063401,-71.0653931,SA
Noddles Island Multi Service Agency,,301 Broadway,Chelsea,MA,2150,,Suffolk,617-889-3300,,888-294-7802,,http://www.northsuffolk.org,42.391088,-71.036655,SA
Rehabilitation and Health Inc,East Boston,52 White Street,Boston,MA,2128,,Suffolk,617-569-2089,,,,http://,42.38063737,-71.03744393,SA
North Suffolk Mental Hlth Association,,14 Porter Street,Boston,MA,2128,,Suffolk,617-912-7500,,888-294-7802,,http://www.northsuffolk.org,42.3748178,-71.0380175,SA
Interim House Inc,Recovery Home,62 Waldeck Street,Dorchester Center,MA,2124,,Suffolk,617-265-2636,,,,http://,42.2973332,-71.0670408,SA
BPHC Substance Abuse Prev and,Treatment Services Satellite,1226 Columbia Road,Boston,MA,2127,,Suffolk,617-534-9500,,,,http://www.bostonpublichealthcommission.org,42.3305767,-71.0492893,SA
Codman Square Health Center,Outpatient Substance Abuse Services,637 Washington Street,Boston,MA,2124,,Suffolk,617-825-9660,,617-822-8366,,http://www.codman.org,42.289384,-71.071349,SA
Dorchester House,,1353 Dorchester Avenue,Dorchester,MA,2122,,Suffolk,617-288-3230,,617-740-2212,,http://www.dothousehealth.org,42.304428,-71.059972,SA
Middlesex Human Serv Agency Inc,Answer House Recovery Home,5 G Street,Boston,MA,2127,,Suffolk,617-268-7124,,,,http://www.mhsainc.org,42.3361379,-71.0444607,SA
Independence Hall,Clinical Stabilization Services,59 South Street,Shrewsbury,MA,1545,,Worcester,508-845-6176,,508-439-9726,,http://www.recoverindependence.org/,42.292148,-71.699297,SA
Boston Public Health Commission,Entre Familia,209 River Street,Mattapan,MA,2126,,Suffolk,617-534-2922,,,,http://www.bphc.org,42.271593,-71.079111,SA
Transitions TSS,,201 River Street,Mattapan,MA,2126,,Suffolk,617-534-6163,Intakes,617-534-9159,617-534-9171,http://www.bphc.org,42.2716186,-71.0790073,SA
Gavin Foundation Inc,Gavin House,675 East 4th Street,Boston,MA,2127,,Suffolk,617-268-5517 x308,,617-268-5517 x301,,http://www.gavinfoundation.org,42.3345029,-71.0377906,SA
Health Care Resource Centers,,175 Crescent Avenue,Chelsea,MA,2150,,Suffolk,617-889-8779,,,,http://www.hcrcenters.com/,42.396243,-71.0232651,SA
Spectrum Health Systems Inc,Spectrum Outpatient Services,200 East Main Street,Milford,MA,1757,,Worcester,508-634-1877,Intakes,508-854-3320 x1161,800-464-9555 x1161,http://www.spectrumhealthsystems.org,42.150897,-71.501077,SA
Riverside Outpatient Center,Lynnfield,6 Kimball Lane,Lynnfield,MA,1940,,Essex,781-246-2010 x2071,,781-246-2010 x2043,,http://www.riversidecc.org,42.5095354,-71.0343553,SA
Bay State Community Services Inc,Ctr for Community Csl and Educ,32 Common Street,Walpole,MA,2081,,Norfolk,508-668-3223,,,,http://www.baystatecs.org,42.1437668,-71.2527812,SA
Spectrum Health Systems Inc,Spectrum/Saugus,184 Broadway Street,Saugus,MA,1906,,Essex,781-233-1095,,800-464-9555 x1161,,http://www.spectrumhealthsystems.org,42.490206,-71.0153032,SA
Spectrum Health Systems Inc,,40 Spruce Street,Leominster,MA,1453,,Worcester,978-466-3820,,508-854-3320,,http://www.spectrumhealthsystems.org/,42.5264363,-71.7552992,SA
Spectrum Health Systems Inc,Outpatient Services,585 Lincoln Street,Worcester,MA,1605,,Worcester,508-854-3320 x1166,,800-464-9555 x1161,,http://www.spectrumhealthsystems.org,42.2962808,-71.7689518,SA
Community Healthlink Inc,Orchard Street Program,17 Orchard Street,Leominster,MA,1453,,Worcester,978-537-3109,,617-661-3991,,http://www.communityhealthlink.org,42.52828215,-71.76507082,SA
South Shore Mental Health ,Outpatient,859 Willard Street,Quincy,MA,2169,,Norfolk,617-847-1909,Intakes,617-847-1914,617-847-1950,http://www.ssmh.org,42.2283203,-71.0324121,SA
Lynn Comprehensive Treatment Ctr,,11 Circle Avenue,Lynn,MA,1905,,Essex,781-836-4054,,,866-243-6535,http://www.crchealth.com,42.4533028,-70.958813,SA
Arbour Counseling Services,Franklin,38 Pond Street,Franklin,MA,2038,,Norfolk,508-528-6037 x18,,508-528-6037,,http://arbourhealth.com,42.0916889,-71.4263185,SA
Community Substance Abuse Centers,(CSAC),172 Newbury Street,Peabody,MA,1960,,Essex,978-535-9190,,,,http://www.csacmethadone.com/,42.5410893,-70.9872271,SA
New Horizons Medical,,500 Congress Street,Quincy,MA,2169,,Norfolk,617-481-6949,,,,http://,42.2346819,-71.0162163,SA
Community Healthlink Inc,FAITH House,142 Burncoat Street,Worcester,MA,1606,,Worcester,508-438-5625,,508-438-5626,,http://,42.295944,-71.790333,SA
AdCare Hospital,,1419 Hancock Street ,Quincy,MA,2169,,Norfolk,617-328-0639,,,,http://www.adcare.com,42.2492393,-71.0027418,SA
Project COPE Inc,Womens Residential,66 Johnson Street,Lynn,MA,1905,,Essex,781-584-8490,,781-584-8490 x1,,http://www.bridgewell.org,42.465919,-70.953334,SA
Project COPE Inc,Bridgewell,66 Johnson Street,Lynn,MA,1902,,Essex,781-584-8490,Intakes,781-584-8490 x1,781-584-8490 x2,http://www.bridgewell.org,42.4659431,-70.953316,SA
New Horizons Medical,,222 Blossom Street Extension,Lynn,MA,1901,,Essex,781-584-4645,,,,http://,42.4567743,-70.9506395,SA
Habit OPCO,Satellite,1515 Hancock Street,Quincy,MA,2169,,Norfolk,617-479-0102,,508-586-6300,,http://www.crchealth.com,42.2476346,-71.0017664,SA
Oxford Intensive OP Recovery Prog,,173 Oxford Street,Lynn,MA,1901,,Essex,781-268-1133,,,,http://www.oxfordiop.com/,42.4634523,-70.9473729,SA
South Shore Recovery Home,,10 Dysart Street,Quincy,MA,2169,,Norfolk,617-773-7023,,,,http://,42.246236,-70.9976949,SA
Fitchburg Comprehensive Trt Center,,155 Airport Road,Fitchburg,MA,1420,,Worcester,978-627-4182,,,,http://www.crchealth.com/,42.5646515,-71.7739713,SA
CleanSlate Centers,,280 Union Street,Lynn,MA,1901,,Essex,781-731-6804,,,,http://,42.4648656,-70.9429226,SA
Psychological Center,Pegasus House,482 Lowell Street,Lawrence,MA,1841,,Essex,978-687-4257,,617-661-3991,,http://www.psychologicalcenter.com,42.7019554,-71.1795474,SA
Advocates,Channing House,21 Catharine Street,Worcester,MA,1605,,Worcester,508-755-8088,,,,http://,42.2757949,-71.7926575,SA
Psychological Center,Womens View,582-584 Haverhill Street,Lawrence,MA,1841,,Essex,978-687-1658,,,,http://www.psychologicalcenter.com,42.7046162,-71.1820079,SA
Experience Wellness LLC,Satellite,121 Lincoln Street,Worcester,MA,1605,,Worcester,508-890-0990,,,,http://www.experiencewellnesscenters.com/,42.2771899,-71.7946405,SA
Project COPE Inc,Affiliate of Bridgewell Outpt SA Servs,66 Silsbee Street,Lynn,MA,1901,,Essex,781-581-9270,,781-581-9270 x4107,,http://www.bridgewell.org,42.4644229,-70.940269,SA
AdCare Hospital,Worcester,107 Lincoln Street,Worcester,MA,1605,,Worcester,508-799-9000,Intakes,800-252-6465 x3010,800-345-3552 x3010,http://www.adcare.com,42.2763289,-71.7948348,SA
Youth Opportunities Upheld Inc,Substance Abuse Services,81 Plantation Street,Worcester,MA,1604,,Worcester,508-849-5600 x408,Intakes,855-490-8462,800-435-9990,http://www.youinc.org/,42.256505,-71.7827286,SA
AdCare Outpatient,Worcester,95 Lincoln Street,Worcester,MA,1605,,Worcester,508-453-3053,Intakes,508-453-3056,,http://www.adcare.com,42.2754131,-71.7954857,SA
Lawrence Comprehensive Trt Ctr,,10 Embankment Street,Lawrence,MA,1841,,Essex,978-297-6179,,,,http://www.nemassctc.com/location/lawrence/,42.702455,-71.169085,SA
